# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.recordsDeleted,1697550113995000000,1697550173979000000,15
FilePageCache.pageFastCacheHits,1697550113995000000,1697550173979000000,7375
FilePageCache.maxCacheSizeInBytes,1697550113995000000,1697550173979000000,527482880
DirectByteBufferAllocator.disposed,1697550113995000000,1697550173979000000,0
FilePageCache.maxRegisteredFiles,1697550113995000000,1697550173979000000,1226
FilePageCache.pageLoadsAboveSizeThreshold,1697550113995000000,1697550173979000000,68
DirectByteBufferAllocator.misses,1697550113995000000,1697550173979000000,4
FilePageCache.pageLoads,1697550113995000000,1697550173979000000,34
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1697550113995000000,1697550173979000000,1048576
FilePageCache.totalPageLoadsUs,1697550113995000000,1697550173979000000,81323
FilePageCache.capacityInBytes,1697550113995000000,1697550173979000000,524288000
FilePageCache.totalPageDisposalsUs,1697550113995000000,1697550173979000000,21
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1697550113995000000,1697550173979000000,988
FilePageCache.uncachedFileAccess,1697550113995000000,1697550173979000000,42
DirectByteBufferAllocator.reclaimed,1697550113995000000,1697550173979000000,99
StreamlinedBlobStorage.recordsAllocated,1697550113995000000,1697550173979000000,29
StorageLockContext.competingThreads.max,1697550113995000000,1697550173979000000,1
FilePageCache.disposedBuffers,1697550113995000000,1697550173979000000,99
StorageLockContext.competingThreads.90P,1697550113995000000,1697550173979000000,0
workspaceModel.replace.project.model.ms,1697550113995000000,1697550173979000000,0
workspaceModel.updates.ms,1697550113995000000,1697550173979000000,193
workspaceModel.loading.total.ms,1697550113995000000,1697550173979000000,280
workspaceModel.collect.changes.ms,1697550113995000000,1697550173979000000,0
workspaceModel.updates.precise.ms,1697550113995000000,1697550173979000000,51
workspaceModel.init.bridges.ms,1697550113995000000,1697550173979000000,21
workspaceModel.loading.from.cache.ms,1697550113995000000,1697550173979000000,257
workspaceModel.check.recursive.update.ms,1697550113995000000,1697550173979000000,0
workspaceModel.update.unloaded.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.to.snapshot.ms,1697550113995000000,1697550173979000000,1
workspaceModel.updates.count,1697550113995000000,1697550173979000000,9
workspaceModel.initializing.ms,1697550113995000000,1697550173979000000,21
workspaceModel.pre.handlers.ms,1697550113995000000,1697550173979000000,1
FileNameCache.queries,1697550113995000000,1697550173979000000,51717
FileNameCache.totalMisses,1697550113995000000,1697550173979000000,221
FileNameCache.fastMisses,1697550113995000000,1697550173979000000,1479
AWTEventQueue.dispatchTimeAvgNs,1697550113995000000,1697550173979000000,558588.6684931507
